,Symptom
0,Aa-Ac
1,Ad-Ak
2,Al-An
3,Ao-Az
4,Aa-Ac
5,Abdominal Aortic Aneurysm Symptoms and Signs
6,Abdominal Lump
7,Abdominal Pain
8,Abnormal Facial Expressions
9,Abnormal gait (walking) and Dizziness
10,Abnormal gait (walking) and Muscle stiffness (rigidity)
11,"Abnormal gait (walking), Agitation, Drooping of one side of face and Drowsiness"
12,"Abnormal gait (walking), Anxiety, Difficulty standing and Fatigue"
13,"Abnormal gait (walking), Blank stare, Blinking eyes and Blurred vision"
14,"Abnormal gait (walking), Body aches or pains, Chills and Difficulty standing"
15,"Abnormal gait (walking), Body aches or pains, Difficulty standing and Fatigue"
16,"Abnormal gait (walking), Body aches or pains, Excessive sweating and Fatigue"
17,"Abnormal gait (walking), Difficulty standing, Difficulty talking and Dizziness"
18,"Abnormal gait (walking), Difficulty standing, Drooping eyelid and Fatigue"
19,"Abnormal gait (walking), Fatigue, Hair loss and Loss of balance"
20,"Abnormal gait (walking), Fatigue, Headache and Inability to care for self"
21,"Abnormal gait (walking), Fatigue, Headache and Loss of balance"
22,Abnormal muscle enlargement (hypertrophy)
23,Abnormal muscle enlargement (hypertrophy) and Weight gain
24,Abnormally round face and Lump or bulge
25,"Abnormally round face, Agitation, Anxiety and Blank stare"
26,"Abnormally round face, Blank stare, Bleeding and Broken bone (single fracture)"
27,"Abnormally round face, Bloating or fullness, Body aches or pains and Choking"
28,"Abnormally round face, Blue colored skin, Cold hands and Color change"
29,Abscessed Tooth Symptoms and Signs
30,Absence of Speech (Loss of Speech)
31,Acanthamoeba Infection Symptoms and Signs
32,Achalasia Symptoms and Signs
33,"Aches or pains, Chills, Fatigue, Generalized weakness"
34,"Aches or pains, Chills, Fatigue, Muscle cramps"
35,"Aches or pains, Chills, Generalized weakness"
36,"Aches or pains, Chills, Muscle weakness, Shaking chills (rigors)"
37,"Aches or pains, Decreased appetite, Fatigue, Generalized weakness"
38,"Aches or pains, Decreased appetite, Fatigue, Weight loss"
39,"Aches or pains, Diarrhea, Fatigue, Muscle cramps"
40,"Aches or pains, Diarrhea, Headache, Muscle cramps"
41,"Aches or pains, Dizziness, Fatigue, Generalized weakness"
42,"Aches or pains, Dizziness, Fatigue, Muscle rigidity"
43,"Aches or pains, Dizziness, Fatigue, Worst Headache"
44,"Aches or pains, Easy bruising, Fatigue, Muscle rigidity"
45,"Aches or pains, Excessive sweating, Fatigue, Muscle rigidity"
46,"Aches or pains, Fatigue, Hot flashes, Muscle rigidity"
47,"Aches or pains, Fatigue, Muscle cramps, Muscle rigidity"
48,"Aches or pains, Fatigue, Muscle rigidity, Pain"
49,"Aches or pains, Fatigue, Sore throat, Generalized weakness"
50,"Aches or pains, Generalized weakness"
51,"Aches or pains, Joint aches, Generalized weakness"
52,"Aches or pains, Weight loss"
53,Achilles Tendon Rupture Symptoms and Signs
54,Achondroplasia Symptoms and Signs
55,Acid Reflux (GERD) Symptoms and Signs
56,Acne Symptoms and Signs
57,Acquired Immunodeficiency Syndrome (AIDS) Symptoms
58,Actinic Keratosis Symptoms and Signs
59,Acute Flaccid Myelitis (AFM) Symptoms and Signs
60,Acute Sinusitis Symptoms and Signs
61,Ad-Ak
62,Addison's Disease Symptoms and Signs
63,ADHD (Inattention)
64,ADHD in Teens Symptoms and Signs
65,ADHD Symptoms and Signs
66,Age-Related Macular Degeneration  (Macular Degeneration Symptoms and Signs)
67,Aggression
68,Agitation
69,Agitation and Hair loss
